ORDERNUMBER;SALES;STATUS;MONTH_ID;YEAR_ID;PRODUCTLINE;CUSTOMERNAME;CITY;COUNTRY;CONTACTLASTNAME;CONTACTFIRSTNAME;DEALSIZE
10318;4358.04;Shipped;11;2004;Motorcycles;Diecast Classics Inc.;Allentown;USA;Yu;Kyung;Medium
10329;4396.14;Shipped;11;2004;Motorcycles;Land of Toys Inc.;NYC;USA;Yu;Kwai;Medium
10341;7737.93;Shipped;11;2004;Motorcycles;Salzburg Collectables;Salzburg;Austria;Pipps;Georg;Large
10361;1451;Shipped;12;2004;Motorcycles;Souveniers And Things Co.;Chatswood;Australia;Huxley;Adrian;Small
10375;733.11;Shipped;2;2005;Motorcycles;La Rochelle Gifts;Nantes;France;Labrune;Janine;Small
10388;3207.12;Shipped;3;2005;Motorcycles;FunGiftIdeas.com;New Bedford;USA;Benitez;Violeta;Medium
10403;2434.56;Shipped;4;2005;Motorcycles;UK Collectables, Ltd.;Liverpool;UK;Devon;Elizabeth;Small
10417;7516.08;Disputed;5;2005;Motorcycles;Euro Shopping Channel;Madrid;Spain;Freyre;Diego;Large
10103;5404.62;Shipped;1;2003;Classic Cars;Baane Mini Imports;Stavern;Norway;Bergulfsen;Jonas;Medium
10112;7209.11;Shipped;3;2003;Classic Cars;Volvo Model Replicas, Co;Lule;Sweden;Berglund;Christina;Large
10126;7329.06;Shipped;5;2003;Classic Cars;Corrida Auto Replicas, Ltd;Madrid;Spain;Sommer;Mart¡n;Large
10140;7374.1;Shipped;7;2003;Classic Cars;Technics Stores Inc.;Burlingame;USA;Hirano;Juri;Large
10150;10993.5;Shipped;9;2003;Classic Cars;Dragon Souveniers, Ltd.;Singapore;Singapore;Natividad;Eric;Large
10163;4860.24;Shipped;10;2003;Classic Cars;Classic Legends Inc.;NYC;USA;Hernandez;Maria;Medium
10174;8014.82;Shipped;11;2003;Classic Cars;Australian Gift Network, Co;South Brisbane;Australia;Calaghan;Tony;Large
10183;5372.57;Shipped;11;2003;Classic Cars;Classic Gift Ideas, Inc;Philadelphia;USA;Cervantes;Francisca;Medium
10194;7290.36;Shipped;11;2003;Classic Cars;Saveley & Henriot, Co.;Lyon;France;Saveley;Mary;Large
10206;9064.89;Shipped;12;2003;Classic Cars;Canadian Gift Exchange Network;Vancouver;Canada;Tannamuri;Yoshi;Large
10215;6075.3;Shipped;1;2004;Classic Cars;West Coast Collectables Co.;Burbank;USA;Thompson;Steve;Medium
10228;6463.23;Shipped;3;2004;Classic Cars;Cambridge Collectables Co.;Cambridge;USA;Tseng;Kyung;Medium
10245;6120.34;Shipped;5;2004;Classic Cars;Super Scale Inc.;New Haven;USA;Murphy;Leslie;Medium
10258;7680.64;Shipped;6;2004;Classic Cars;Tokyo Collectables, Ltd;Minato-ku;Japan;Shimamura;Akiko;Large
10270;4905.39;Shipped;7;2004;Classic Cars;Souveniers And Things Co.;Chatswood;Australia;Huxley;Adrian;Medium
10280;8014.82;Shipped;8;2004;Classic Cars;Amica Models & Co.;Torino;Italy;Accorti;Paolo;Large
10291;7136.19;Shipped;9;2004;Classic Cars;Scandinavian Gift Ideas;Boras;Sweden;Larsson;Maria;Large
10304;10172.7;Shipped;10;2004;Classic Cars;Auto Assoc. & Cie.;Versailles;France;Tonini;Daniel;Large
10312;11623.7;Shipped;10;2004;Classic Cars;Mini Gifts Distributors Ltd.;San Rafael;USA;Nelson;Valarie;Large
10322;6000.4;Shipped;11;2004;Classic Cars;Online Diecast Creations Co.;Nashua;USA;Young;Valarie;Medium
10333;3003;Shipped;11;2004;Classic Cars;Mini Wheels Co.;San Francisco;USA;Murphy;Julie;Medium
10347;3944.7;Shipped;11;2004;Classic Cars;Australian Collectors, Co.;Melbourne;Australia;Ferguson;Peter;Medium
10357;5691.84;Shipped;12;2004;Classic Cars;Mini Gifts Distributors Ltd.;San Rafael;USA;Nelson;Valarie;Medium
10369;4514.92;Shipped;1;2005;Classic Cars;Collectables For Less Inc.;Brickhaven;USA;Nelson;Allen;Medium
10381;8254.8;Shipped;2;2005;Classic Cars;Corporate Gift Ideas Co.;San Francisco;USA;Brown;Julie;Large
10391;2416.56;Shipped;3;2005;Classic Cars;Anna's Decorations, Ltd;North Sydney;Australia;O'Hara;Anna;Small
10411;4140.23;Shipped;5;2005;Classic Cars;Quebec Home Shopping Network;Montreal;Canada;Fresnisre;Jean;Medium
10424;12001;In Process;5;2005;Classic Cars;Euro Shopping Channel;Madrid;Spain;Freyre;Diego;Large
10107;3896.49;Shipped;2;2003;Motorcycles;Land of Toys Inc.;NYC;USA;Yu;Kwai;Medium
10120;2793.86;Shipped;4;2003;Motorcycles;Australian Collectors, Co.;Melbourne;Australia;Ferguson;Peter;Small
10134;3307.77;Shipped;7;2003;Motorcycles;Lyon Souveniers;Paris;France;Da Cunha;Daniel;Medium
10145;5192.95;Shipped;8;2003;Motorcycles;Toys4GrownUps.com;Pasadena;USA;Young;Julie;Medium
10159;5016.83;Shipped;10;2003;Motorcycles;Corporate Gift Ideas Co.;San Francisco;USA;Brown;Julie;Medium
10168;3660.93;Shipped;10;2003;Motorcycles;Technics Stores Inc.;Burlingame;USA;Hirano;Juri;Medium
10180;4695.6;Shipped;11;2003;Motorcycles;Daedalus Designs Imports;Lille;France;Rance;Martine;Medium
10188;3660.92;Shipped;11;2003;Motorcycles;Herkku Gifts;Bergen;Norway;Oeztan;Veysel;Medium
10201;3025.92;Shipped;12;2003;Motorcycles;Mini Wheels Co.;San Francisco;USA;Murphy;Julie;Medium
10210;3009.09;Shipped;1;2004;Motorcycles;Osaka Souveniers Co.;Osaka;Japan;Kentary;Mory;Medium
10223;5422.39;Shipped;2;2004;Motorcycles;Australian Collectors, Co.;Melbourne;Australia;Ferguson;Peter;Medium
10236;2852.08;Shipped;4;2004;Motorcycles;Motor Mint Distributors Inc.;Philadelphia;USA;Hernandez;Rosa;Small
10251;5756.52;Shipped;5;2004;Motorcycles;Tekni Collectables Inc.;Newark;USA;Brown;William;Medium
10263;4472;Shipped;6;2004;Motorcycles;Gift Depot Inc.;Bridgewater;USA;King;Julie;Medium
10275;2904.44;Shipped;7;2004;Motorcycles;La Rochelle Gifts;Nantes;France;Labrune;Janine;Small
10285;6484.59;Shipped;8;2004;Motorcycles;Marta's Replicas Co.;Cambridge;USA;Hernandez;Marta;Medium
10298;3757.26;Shipped;9;2004;Motorcycles;Atelier graphique;Nantes;France;Schmitt;Carine;Medium
10308;4043.96;Shipped;10;2004;Motorcycles;Mini Classics;White Plains;USA;Frick;Steve;Medium
10318;5566.5;Shipped;11;2004;Motorcycles;Diecast Classics Inc.;Allentown;USA;Yu;Kyung;Medium
10329;3176;Shipped;11;2004;Motorcycles;Land of Toys Inc.;NYC;USA;Yu;Kwai;Medium
10339;2756.8;Shipped;11;2004;Motorcycles;Tokyo Collectables, Ltd;Minato-ku;Japan;Shimamura;Akiko;Small
10361;1329.9;Shipped;12;2004;Motorcycles;Souveniers And Things Co.;Chatswood;Australia;Huxley;Adrian;Small
10374;5288.01;Shipped;2;2005;Motorcycles;Australian Gift Network, Co;South Brisbane;Australia;Calaghan;Tony;Medium
10388;2225.5;Shipped;3;2005;Motorcycles;FunGiftIdeas.com;New Bedford;USA;Benitez;Violeta;Small
10402;5833.8;Shipped;4;2005;Motorcycles;Auto Canal Petit;Paris;France;Perrier;Dominique;Medium
10417;5887.35;Disputed;5;2005;Motorcycles;Euro Shopping Channel;Madrid;Spain;Freyre;Diego;Medium
10107;6065.55;Shipped;2;2003;Motorcycles;Land of Toys Inc.;NYC;USA;Yu;Kwai;Medium
10120;9264.86;Shipped;4;2003;Motorcycles;Australian Collectors, Co.;Melbourne;Australia;Ferguson;Peter;Large
10134;7023.98;Shipped;7;2003;Motorcycles;Lyon Souveniers;Paris;France;Da Cunha;Daniel;Large
10145;5176.38;Shipped;8;2003;Motorcycles;Toys4GrownUps.com;Pasadena;USA;Young;Julie;Medium
10159;4132.7;Shipped;10;2003;Motorcycles;Corporate Gift Ideas Co.;San Francisco;USA;Brown;Julie;Medium
10168;4183;Shipped;10;2003;Motorcycles;Technics Stores Inc.;Burlingame;USA;Hirano;Juri;Medium
10180;8892.9;Shipped;11;2003;Motorcycles;Daedalus Designs Imports;Lille;France;Rance;Martine;Large
10188;8714.7;Shipped;11;2003;Motorcycles;Herkku Gifts;Bergen;Norway;Oeztan;Veysel;Large
10201;8065.89;Shipped;12;2003;Motorcycles;Mini Wheels Co.;San Francisco;USA;Murphy;Julie;Large
10210;6123.4;Shipped;1;2004;Motorcycles;Osaka Souveniers Co.;Osaka;Japan;Kentary;Mory;Medium
10223;9774.03;Shipped;2;2004;Motorcycles;Australian Collectors, Co.;Melbourne;Australia;Ferguson;Peter;Large
10237;7023.9;Shipped;4;2004;Motorcycles;Vitachrome Inc.;NYC;USA;Frick;Michael;Large
10251;7078.23;Shipped;5;2004;Motorcycles;Tekni Collectables Inc.;Newark;USA;Brown;William;Large
10263;8336.94;Shipped;6;2004;Motorcycles;Gift Depot Inc.;Bridgewater;USA;King;Julie;Large
10275;6901.92;Shipped;7;2004;Motorcycles;La Rochelle Gifts;Nantes;France;Labrune;Janine;Medium
10285;5438.07;Shipped;8;2004;Motorcycles;Marta's Replicas Co.;Cambridge;USA;Hernandez;Marta;Medium
10299;6683.34;Shipped;9;2004;Motorcycles;Toys of Finland, Co.;Helsinki;Finland;Karttunen;Matti;Medium
10308;4570.4;Shipped;10;2004;Motorcycles;Mini Classics;White Plains;USA;Frick;Steve;Medium
10318;7667.14;Shipped;11;2004;Motorcycles;Diecast Classics Inc.;Allentown;USA;Yu;Kyung;Large
10329;5868.2;Shipped;11;2004;Motorcycles;Land of Toys Inc.;NYC;USA;Yu;Kwai;Medium
10339;2990.13;Shipped;11;2004;Motorcycles;Tokyo Collectables, Ltd;Minato-ku;Japan;Shimamura;Akiko;Small
10362;3664.1;Shipped;1;2005;Motorcycles;Technics Stores Inc.;Burlingame;USA;Hirano;Juri;Medium
10374;3834.38;Shipped;2;2005;Motorcycles;Australian Gift Network, Co;South Brisbane;Australia;Calaghan;Tony;Medium
10388;1822.17;Shipped;3;2005;Motorcycles;FunGiftIdeas.com;New Bedford;USA;Benitez;Violeta;Small
10403;11886.6;Shipped;4;2005;Motorcycles;UK Collectables, Ltd.;Liverpool;UK;Devon;Elizabeth;Large
10417;9218.16;Disputed;5;2005;Motorcycles;Euro Shopping Channel;Madrid;Spain;Freyre;Diego;Large
10105;7208;Shipped;2;2003;Classic Cars;Danish Wholesale Imports;Kobenhavn;Denmark;Petersen;Jytte;Large
10119;5004.8;Shipped;4;2003;Classic Cars;Salzburg Collectables;Salzburg;Austria;Pipps;Georg;Medium
10129;4398.24;Shipped;6;2003;Classic Cars;Stylish Desk Decors, Co.;London;UK;Brown;Ann;Medium
10143;5597.76;Shipped;8;2003;Classic Cars;Mini Creations Ltd.;New Bedford;USA;Tam;Wing C;Medium
10155;4526.08;Shipped;10;2003;Classic Cars;Toys of Finland, Co.;Helsinki;Finland;Karttunen;Matti;Medium
10167;5924.16;Cancelled;10;2003;Classic Cars;Scandinavian Gift Ideas;Boras;Sweden;Larsson;Maria;Medium
10178;3492.48;Shipped;11;2003;Classic Cars;Alpha Cognac;Toulouse;France;Roulet;Annette;Medium
10186;3854.24;Shipped;11;2003;Classic Cars;Double Decker Gift Stores, Ltd;London;UK;Hardy;Thomas;Medium
10197;5324.4;Shipped;11;2003;Classic Cars;Enaco Distributors;Barcelona;Spain;Saavedra;Eduardo;Medium
10209;5197.92;Shipped;1;2004;Classic Cars;Men 'R' US Retailers, Ltd.;Los Angeles;USA;Chandler;Michael;Medium
10222;5997.6;Shipped;2;2004;Classic Cars;Collectable Mini Designs Co.;San Diego;USA;Thompson;Valarie;Medium
10248;2910.4;Cancelled;5;2004;Classic Cars;Land of Toys Inc.;NYC;USA;Yu;Kwai;Small
10261;3378.24;Shipped;6;2004;Classic Cars;Quebec Home Shopping Network;Montreal;Canada;Fresnisre;Jean;Medium
10273;3508.8;Shipped;7;2004;Classic Cars;Petit Auto;Bruxelles;Belgium;Dewey;Catherine;Medium
10283;2992;Shipped;8;2004;Classic Cars;Royal Canadian Collectables, Ltd.;Tsawassen;Canada;Lincoln;Elizabeth;Small
10295;3427.2;Shipped;9;2004;Classic Cars;Gifts4AllAges.com;Boston;USA;Yoshido;Juri;Medium
10307;2692.8;Shipped;10;2004;Classic Cars;Classic Gift Ideas, Inc;Philadelphia;USA;Cervantes;Francisca;Small
10316;4128.96;Shipped;11;2004;Classic Cars;giftsbymail.co.uk;Cowes;UK;Bennett;Helen;Medium
10325;3051.71;Shipped;11;2004;Classic Cars;Baane Mini Imports;Stavern;Norway;Bergulfsen;Jonas;Medium
10337;1201.25;Shipped;11;2004;Classic Cars;Classic Legends Inc.;NYC;USA;Hernandez;Maria;Small
10350;1962.22;Shipped;12;2004;Classic Cars;Euro Shopping Channel;Madrid;Spain;Freyre;Diego;Small
10359;2624.64;Shipped;12;2004;Classic Cars;Reims Collectables;Reims;France;Henriot;Paul;Small
10373;4046.25;Shipped;1;2005;Classic Cars;Oulu Toy Supplies, Inc.;Oulu;Finland;Koskitalo;Pirkko;Medium
10384;4846.7;Shipped;2;2005;Classic Cars;Corporate Gift Ideas Co.;San Francisco;USA;Brown;Julie;Medium
10395;3370.56;Shipped;3;2005;Classic Cars;Lyon Souveniers;Paris;France;Da Cunha;Daniel;Medium
10400;9661.44;Shipped;4;2005;Classic Cars;The Sharp Gifts Warehouse;San Jose;USA;Frick;Sue;Large
10414;2764.88;On Hold;5;2005;Classic Cars;Gifts4AllAges.com;Boston;USA;Yoshido;Juri;Small
10103;5398.26;Shipped;1;2003;Classic Cars;Baane Mini Imports;Stavern;Norway;Bergulfsen;Jonas;Medium
10114;4305.28;Shipped;4;2003;Classic Cars;La Corne D'abondance, Co.;Paris;France;Bertrand;Marie;Medium
10126;3347.74;Shipped;5;2003;Classic Cars;Corrida Auto Replicas, Ltd;Madrid;Spain;Sommer;Mart¡n;Medium
10140;3188.12;Shipped;7;2003;Classic Cars;Technics Stores Inc.;Burlingame;USA;Hirano;Juri;Medium
10150;3191.2;Shipped;9;2003;Classic Cars;Dragon Souveniers, Ltd.;Singapore;Singapore;Natividad;Eric;Medium
10164;3536.82;Resolved;10;2003;Classic Cars;Mini Auto Werke;Graz;Austria;Mendel;Roland;Medium
10175;5362.83;Shipped;11;2003;Classic Cars;Stylish Desk Decors, Co.;London;UK;Brown;Ann;Medium
10183;3433.36;Shipped;11;2003;Classic Cars;Classic Gift Ideas, Inc;Philadelphia;USA;Cervantes;Francisca;Medium
10194;4263.74;Shipped;11;2003;Classic Cars;Saveley & Henriot, Co.;Lyon;France;Saveley;Mary;Medium
10207;4076.19;Shipped;12;2003;Classic Cars;Diecast Collectables;Boston;USA;Franco;Valarie;Medium
10217;7020.48;Shipped;2;2004;Classic Cars;Handji Gifts& Co;Singapore;Singapore;Victorino;Wendy;Large
10229;6426.5;Shipped;3;2004;Classic Cars;Mini Gifts Distributors Ltd.;San Rafael;USA;Nelson;Valarie;Medium
10245;4591.72;Shipped;5;2004;Classic Cars;Super Scale Inc.;New Haven;USA;Murphy;Leslie;Medium
10259;4033.38;Shipped;6;2004;Classic Cars;Handji Gifts& Co;Singapore;Singapore;Victorino;Wendy;Medium
10270;4302.08;Shipped;7;2004;Classic Cars;Souveniers And Things Co.;Chatswood;Australia;Huxley;Adrian;Medium
10281;7020.64;Shipped;8;2004;Classic Cars;Diecast Classics Inc.;Allentown;USA;Yu;Kyung;Large
10291;3855.9;Shipped;9;2004;Classic Cars;Scandinavian Gift Ideas;Boras;Sweden;Larsson;Maria;Medium
10305;6680.78;Shipped;10;2004;Classic Cars;Marta's Replicas Co.;Cambridge;USA;Hernandez;Marta;Medium
10313;6678;Shipped;10;2004;Classic Cars;Canadian Gift Exchange Network;Vancouver;Canada;Tannamuri;Yoshi;Medium
10322;2851.54;Shipped;11;2004;Classic Cars;Online Diecast Creations Co.;Nashua;USA;Young;Valarie;Small
10334;3188.12;On Hold;11;2004;Classic Cars;Volvo Model Replicas, Co;Lule;Sweden;Berglund;Christina;Medium
10347;4428;Shipped;11;2004;Classic Cars;Australian Collectors, Co.;Melbourne;Australia;Ferguson;Peter;Medium
10357;5780.92;Shipped;12;2004;Classic Cars;Mini Gifts Distributors Ltd.;San Rafael;USA;Nelson;Valarie;Medium
10370;2297.05;Shipped;1;2005;Classic Cars;Anna's Decorations, Ltd;North Sydney;Australia;O'Hara;Anna;Small
10381;6231.54;Shipped;2;2005;Classic Cars;Corporate Gift Ideas Co.;San Francisco;USA;Brown;Julie;Medium
10391;1735.3;Shipped;3;2005;Classic Cars;Anna's Decorations, Ltd;North Sydney;Australia;O'Hara;Anna;Small
10411;4427.73;Shipped;5;2005;Classic Cars;Quebec Home Shopping Network;Montreal;Canada;Fresnisre;Jean;Medium
10425;5894.94;In Process;5;2005;Classic Cars;La Rochelle Gifts;Nantes;France;Labrune;Janine;Medium
10108;5265.15;Shipped;3;2003;Classic Cars;Cruz & Sons Co.;Makati City;Philippines;Cruz;Arnold;Medium
10122;7599.9;Shipped;5;2003;Classic Cars;Marseille Mini Autos;Marseille;France;Lebihan;Laurence;Large
10135;8008.56;Shipped;7;2003;Classic Cars;Mini Gifts Distributors Ltd.;San Rafael;USA;Nelson;Valarie;Large
10147;9245.76;Shipped;9;2003;Classic Cars;Collectables For Less Inc.;Brickhaven;USA;Nelson;Allen;Large
10159;8296.35;Shipped;10;2003;Classic Cars;Corporate Gift Ideas Co.;San Francisco;USA;Brown;Julie;Large
10169;5019.9;Shipped;11;2003;Classic Cars;Anna's Decorations, Ltd;North Sydney;Australia;O'Hara;Anna;Medium
10181;5411.07;Shipped;11;2003;Classic Cars;Herkku Gifts;Bergen;Norway;Oeztan;Veysel;Medium
10191;3840.9;Shipped;11;2003;Classic Cars;Toms Spezialitten, Ltd;Koln;Germany;Pfalzheim;Henriette;Medium
10203;3930.4;Shipped;12;2003;Classic Cars;Euro Shopping Channel;Madrid;Spain;Freyre;Diego;Medium
10211;7498.9;Shipped;1;2004;Classic Cars;Auto Canal Petit;Paris;France;Perrier;Dominique;Large
10225;4517.91;Shipped;2;2004;Classic Cars;Vida Sport, Ltd;Gensve;Switzerland;Holz;Michael;Medium
10238;5774.72;Shipped;4;2004;Classic Cars;Danish Wholesale Imports;Kobenhavn;Denmark;Petersen;Jytte;Medium
10253;3922.56;Cancelled;6;2004;Classic Cars;UK Collectables, Ltd.;Liverpool;UK;Devon;Elizabeth;Medium
10266;9160.36;Shipped;7;2004;Classic Cars;L'ordine Souveniers;Reggio Emilia;Italy;Moroni;Maurizio;Large
10276;9631;Shipped;8;2004;Classic Cars;Online Mini Collectables;Brickhaven;USA;Barajas;Miguel;Large
10287;3432.24;Shipped;8;2004;Classic Cars;Vida Sport, Ltd;Gensve;Switzerland;Holz;Michael;Medium
10300;5521.89;Shipped;10;2003;Classic Cars;Blauer See Auto, Co.;Frankfurt;Germany;Keitel;Roland;Medium
10310;6934.62;Shipped;10;2004;Classic Cars;Toms Spezialitten, Ltd;Koln;Germany;Pfalzheim;Henriette;Medium
10320;6876.11;Shipped;11;2004;Classic Cars;Volvo Model Replicas, Co;Lule;Sweden;Berglund;Christina;Medium
10329;2930.27;Shipped;11;2004;Classic Cars;Land of Toys Inc.;NYC;USA;Yu;Kwai;Small
10341;3584.25;Shipped;11;2004;Classic Cars;Salzburg Collectables;Salzburg;Austria;Pipps;Georg;Medium
10363;2817.87;Shipped;1;2005;Classic Cars;Suominen Souveniers;Espoo;Finland;Suominen;Kalle;Small
10375;3420;Shipped;2;2005;Classic Cars;La Rochelle Gifts;Nantes;France;Labrune;Janine;Medium
10389;2575.04;Shipped;3;2005;Classic Cars;Scandinavian Gift Ideas;Boras;Sweden;Larsson;Maria;Small
10419;1961.28;Shipped;5;2005;Classic Cars;Salzburg Collectables;Salzburg;Austria;Pipps;Georg;Small
10105;8690.36;Shipped;2;2003;Classic Cars;Danish Wholesale Imports;Kobenhavn;Denmark;Petersen;Jytte;Large
10117;6034.38;Shipped;4;2003;Classic Cars;Dragon Souveniers, Ltd.;Singapore;Singapore;Natividad;Eric;Medium
10127;11279.2;Shipped;6;2003;Classic Cars;Muscle Machine Inc;NYC;USA;Young;Jeff;Large
10142;8023.29;Shipped;8;2003;Classic Cars;Mini Gifts Distributors Ltd.;San Rafael;USA;Nelson;Valarie;Large
10153;4904;Shipped;9;2003;Classic Cars;Euro Shopping Channel;Madrid;Spain;Freyre;Diego;Medium
10165;8594.52;Shipped;10;2003;Classic Cars;Dragon Souveniers, Ltd.;Singapore;Singapore;Natividad;Eric;Large
10176;7474.5;Shipped;11;2003;Classic Cars;L'ordine Souveniers;Reggio Emilia;Italy;Moroni;Maurizio;Large
10185;3883.74;Shipped;11;2003;Classic Cars;Mini Creations Ltd.;New Bedford;USA;Tam;Wing C;Medium
10196;8887.7;Shipped;11;2003;Classic Cars;Super Scale Inc.;New Haven;USA;Murphy;Leslie;Large
10208;8602.92;Shipped;1;2004;Classic Cars;Saveley & Henriot, Co.;Lyon;France;Saveley;Mary;Large
10220;7181.44;Shipped;2;2004;Classic Cars;Clover Collections, Co.;Dublin;Ireland;Cassidy;Dean;Large
10231;8378.58;Shipped;3;2004;Classic Cars;CAF Imports;Madrid;Spain;Fernandez;Jesus;Large
10247;10606.2;Shipped;5;2004;Classic Cars;Suominen Souveniers;Espoo;Finland;Suominen;Kalle;Large
10272;5818.4;Shipped;7;2004;Classic Cars;Diecast Classics Inc.;Allentown;USA;Yu;Kyung;Medium
10282;7071.27;Shipped;8;2004;Classic Cars;Mini Gifts Distributors Ltd.;San Rafael;USA;Nelson;Valarie;Large
10293;8411.56;Shipped;9;2004;Classic Cars;Amica Models & Co.;Torino;Italy;Accorti;Paolo;Large
10306;6570.76;Shipped;10;2004;Classic Cars;AV Stores, Co.;Manchester;UK;Ashworth;Victoria;Medium
10314;7975.44;Shipped;10;2004;Classic Cars;Heintze Collectables;Aaarhus;Denmark;Ibsen;Palle;Large
10325;2688;Shipped;11;2004;Classic Cars;Baane Mini Imports;Stavern;Norway;Bergulfsen;Jonas;Small
10336;1888.26;Shipped;11;2004;Classic Cars;La Corne D'abondance, Co.;Paris;France;Bertrand;Marie;Small
10348;2513.28;Shipped;11;2004;Classic Cars;Corrida Auto Replicas, Ltd;Madrid;Spain;Sommer;Mart¡n;Small
10359;4764.48;Shipped;12;2004;Classic Cars;Reims Collectables;Reims;France;Henriot;Paul;Medium
10371;3560.64;Shipped;1;2005;Classic Cars;Mini Gifts Distributors Ltd.;San Rafael;USA;Nelson;Valarie;Medium
10382;3823.64;Shipped;2;2005;Classic Cars;Mini Gifts Distributors Ltd.;San Rafael;USA;Nelson;Valarie;Medium
10395;2280.96;Shipped;3;2005;Classic Cars;Lyon Souveniers;Paris;France;Da Cunha;Daniel;Small
10413;8677.8;Shipped;5;2005;Classic Cars;Gift Depot Inc.;Bridgewater;USA;King;Julie;Large
10103;3394.98;Shipped;1;2003;Trucks and Buses;Baane Mini Imports;Stavern;Norway;Bergulfsen;Jonas;Medium
10113;3415.44;Shipped;3;2003;Trucks and Buses;Mini Gifts Distributors Ltd.;San Rafael;USA;Nelson;Valarie;Medium
10126;2439.57;Shipped;5;2003;Trucks and Buses;Corrida Auto Replicas, Ltd;Madrid;Spain;Sommer;Mart¡n;Small
10140;4829.8;Shipped;7;2003;Trucks and Buses;Technics Stores Inc.;Burlingame;USA;Hirano;Juri;Medium
10150;4100.1;Shipped;9;2003;Trucks and Buses;Dragon Souveniers, Ltd.;Singapore;Singapore;Natividad;Eric;Medium
10164;6563.06;Resolved;10;2003;Trucks and Buses;Mini Auto Werke;Graz;Austria;Mendel;Roland;Medium
10174;6817.22;Shipped;11;2003;Trucks and Buses;Australian Gift Network, Co;South Brisbane;Australia;Calaghan;Tony;Medium
10183;6163.94;Shipped;11;2003;Trucks and Buses;Classic Gift Ideas, Inc;Philadelphia;USA;Cervantes;Francisca;Medium
10194;4933.92;Shipped;11;2003;Trucks and Buses;Saveley & Henriot, Co.;Lyon;France;Saveley;Mary;Medium
10206;4056.36;Shipped;12;2003;Trucks and Buses;Canadian Gift Exchange Network;Vancouver;Canada;Tannamuri;Yoshi;Medium
10216;5759.42;Shipped;2;2004;Trucks and Buses;Auto Assoc. & Cie.;Versailles;France;Tonini;Daniel;Medium
10229;3451;Shipped;3;2004;Trucks and Buses;Mini Gifts Distributors Ltd.;San Rafael;USA;Nelson;Valarie;Medium
10245;5920.4;Shipped;5;2004;Trucks and Buses;Super Scale Inc.;New Haven;USA;Murphy;Leslie;Medium
10258;6668.24;Shipped;6;2004;Trucks and Buses;Tokyo Collectables, Ltd;Minato-ku;Japan;Shimamura;Akiko;Medium
10270;4094.72;Shipped;7;2004;Trucks and Buses;Souveniers And Things Co.;Chatswood;Australia;Huxley;Adrian;Medium
10281;2938.5;Shipped;8;2004;Trucks and Buses;Diecast Classics Inc.;Allentown;USA;Yu;Kyung;Small
10291;6387.8;Shipped;9;2004;Trucks and Buses;Scandinavian Gift Ideas;Boras;Sweden;Larsson;Maria;Medium
10304;6396;Shipped;10;2004;Trucks and Buses;Auto Assoc. & Cie.;Versailles;France;Tonini;Daniel;Medium
10313;2669.1;Shipped;10;2004;Trucks and Buses;Canadian Gift Exchange Network;Vancouver;Canada;Tannamuri;Yoshi;Small
10322;4784.13;Shipped;11;2004;Trucks and Buses;Online Diecast Creations Co.;Nashua;USA;Young;Valarie;Medium
